SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1370,MECH_153736,Small Capacity Exhaust,On/off
SITE_1371,MECH_41747,Small Capacity Exhaust,On/off
SITE_1372,MECH_69106,Recirculating Only,Manual thermostat - Digital
SITE_1373,MECH_66500,High Capacity Exhaust,On/off
SITE_1374,MECH_89746,Recirculating Only,Manual thermostat - Digital
SITE_1375,MECH_41726,Recirculating Only,On/off
SITE_1376,MECH_128684,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1377,MECH_47245,Recirculating Only,On/off
SITE_1379,MECH_91158,Small Capacity Exhaust,Manual thermostat - Analog
SITE_138,MECH_121198,Small Capacity Exhaust,On/off
SITE_1380,MECH_67408,Recirculating Only,On/off
SITE_1381,MECH_50936,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1382,MECH_112165,Recirculating Only,On/off
SITE_1383,MECH_121637,Small Capacity Exhaust,On/off
SITE_1384,MECH_28781,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1385,MECH_75080,Small Capacity Exhaust,On/off
SITE_1386,MECH_75755,Recirculating Only,On/off
SITE_1387,MECH_148205,Small Capacity Exhaust,On/off
SITE_1388,MECH_35150,Recirculating Only,On/off
SITE_1389,MECH_86604,Recirculating Only,On/off
SITE_139,MECH_66666,Small Capacity Exhaust,On/off
SITE_1390,MECH_6659,Small Capacity Exhaust,On/off
SITE_1392,MECH_23718,High Capacity Exhaust,On/off
SITE_1394,MECH_73456,Recirculating Only,On/off
SITE_1396,MECH_160046,High Capacity Exhaust,On/off
SITE_1396,MECH_129714,Small Capacity Exhaust,On/off
SITE_1397,MECH_164407,Small Capacity Exhaust,On/off
SITE_1398,MECH_23534,Recirculating Only,On/off
SITE_1400,MECH_4418,Small Capacity Exhaust,On/off
SITE_1401,MECH_105901,Recirculating Only,On/off
SITE_1402,MECH_100269,High Capacity Exhaust,On/off
SITE_1403,MECH_154714,Small Capacity Exhaust,On/off
SITE_1404,MECH_19319,Recirculating Only,Manual thermostat - Digital
SITE_1405,MECH_110269,Small Capacity Exhaust,On/off
SITE_1406,MECH_53138,Small Capacity Exhaust,On/off
SITE_1409,MECH_95044,Small Capacity Exhaust,Manual thermostat - Digital
SITE_141,MECH_15831,Unknown,On/off
SITE_1410,MECH_139225,Recirculating Only,Manual thermostat - Digital
