"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1072","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","90","100","10","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown","0",NA
"SITE_1073","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Attic","25","50","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","3","100",NA
"SITE_1075","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1076","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","0","25","0","100","No","Unknown",NA,"Yes","Fiberglass batts","2","75",NA
"SITE_1077","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_108","All Metal","Yes","Duct or Foil tape",NA,"Unknown","In Walls","In Walls","100","100","0","95","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_1081","Unknown","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1082","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1083","Duct Board Plenum, Flex Runs","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","0","100","90","No","Unknown","Unknown","Yes","Unknown","1","90",NA
"SITE_1084","All Metal","No",NA,NA,"Yes","In Walls and Ceilings","In Walls and Ceilings","0","0","100","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1086","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1087","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings","25","Unknown","75","90","No","Unknown","Unknown","Yes","Fiberglass batts","2","90",NA
"SITE_1088","All Metal","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings","50","75","50","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1089","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","75","Yes","Connected",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_109","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","50","50","0","75","No","Unknown","R4","Yes","Unknown","0","90",NA
"SITE_1090","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","0","0","0","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1091","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","25","25","75","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1092","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, Garage","Attic, Garage","0","0","0","100","No","Unknown","R6","Yes","Foil-faced fiberglass","2","100",NA
"SITE_1095","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Attic, In Walls and Ceilings","50","50","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
