"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1608","ROOM_12531","APPL_151156","Amazon","ECHO VERSION 1","Unknown","No","Yes","Yes","No","No",NA
"SITE_1608","ROOM_5032","APPL_123437","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1612","ROOM_19787","APPL_65097","LG","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1615","ROOM_31846","APPL_96340","Samsung","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1617","ROOM_30203","APPL_110843","Samsung","HW-KM57C","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_162","ROOM_14812","APPL_132703","Sony","SA-MT300Z","2017","No","No","No","Yes","No",NA
"SITE_162","ROOM_21424","APPL_13955","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_162","ROOM_22743","APPL_76890","Amazon","ALEXA","Unknown","No","Yes","Yes","No","No",NA
"SITE_1620","ROOM_4373","APPL_173152","Vizio","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1623","ROOM_44997","APPL_40627","Sony","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1625","ROOM_13033","APPL_66010","Samsung","SOUNDSHARE","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1627","ROOM_43997","APPL_93849","Amazon","Unknown","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1628","ROOM_32362","APPL_146052","Amazon","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_1633","ROOM_32620","APPL_173680","Sony","Unknown","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1635","ROOM_2230","APPL_41524","Bose","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_164","ROOM_13413","APPL_171924","Sonos","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1647","ROOM_45197","APPL_591","ZVOX","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_168","ROOM_8362","APPL_133053","Fisher","RS-909","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_17","ROOM_39183","APPL_26813","Harman/Kardon","HW-Q6CR","2019","Yes","No","No","Yes","Yes","Unknown"
"SITE_172","ROOM_40737","APPL_93858","Sonos","Unknown","Unknown","Unknown","Yes","No","Yes","No",NA
"SITE_1730","ROOM_13773","APPL_6749","Onkyo","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1730","ROOM_4677","APPL_25279","Amazon","ECHO DOT","2019","Unknown","Yes","Yes","Yes","No",NA
"SITE_1730","ROOM_43324","APPL_64490","Amazon","ECHO","Unknown","Unknown","Yes","Yes","Yes","No",NA
"SITE_1730","ROOM_13773","APPL_41995","Amazon","EACHO","2019","No","Yes","Yes","Yes","No",NA
"SITE_1730","ROOM_24881","APPL_82989","Amazon","ECHO","Unknown","Unknown","Yes","Yes","No","No",NA
