"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1131","MECH_8511","Builder Grade","Yes","On/off","0.1"
"SITE_1131","MECH_65797","Builder Grade","Yes","On/off","0"
"SITE_1131","MECH_140890","Builder Grade","Yes","On/off","0"
"SITE_1132","MECH_112518","Builder Grade","Yes","Timer","0.5"
"SITE_1132","MECH_28987","Builder Grade","Yes","On/off","0"
"SITE_1132","MECH_102094","Builder Grade","Yes","On/off","0"
"SITE_1133","MECH_25952","Builder Grade","Yes","On/off","0"
"SITE_1133","MECH_19281","Builder Grade","Yes","On/off","0"
"SITE_1133","MECH_43966","Builder Grade","Yes","On/off","0.5"
"SITE_1133","MECH_116295","Builder Grade","Yes","On/off","0"
"SITE_1134","MECH_124203","Builder Grade","Yes","On/off","0.25"
"SITE_1134","MECH_49671","Builder Grade","Yes","On/off","0.25"
"SITE_1135","MECH_72657","Builder Grade","Yes","On/off","0.75"
"SITE_1135","MECH_154882","Builder Grade","Yes","On/off","1"
"SITE_1135","MECH_112885","Builder Grade","Yes","On/off","0"
"SITE_1136","MECH_25339","Builder Grade","Yes","On/off","0"
"SITE_1137","MECH_32359","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1137","MECH_143678","Panasonic or equivalent","Yes","Timer","0"
"SITE_1138","MECH_41804","Unknown","No","On/off","0"
"SITE_1138","MECH_6862","Unknown","Unknown","Timer","0"
"SITE_1139","MECH_131053","Builder Grade","Yes","On/off","0.1"
"SITE_1139","MECH_91073","Builder Grade","Yes","On/off","0.1"
"SITE_114","MECH_146762","Builder Grade","Yes","On/off","1"
"SITE_114","MECH_164940","Builder Grade","Yes","None","0"
"SITE_1140","MECH_30453","Builder Grade","Yes","On/off","0"
"SITE_1140","MECH_137496","Builder Grade","Yes","On/off","0"
"SITE_1140","MECH_170420","Builder Grade","Yes","On/off","0"
"SITE_1140","MECH_5203","Builder Grade","Yes","On/off","0"
"SITE_1141","MECH_137132","Builder Grade","Yes","On/off","0.25"
"SITE_1143","MECH_126391","Builder Grade","Yes","On/off","0"
"SITE_1143","MECH_90930","Builder Grade","Yes","On/off","0.5"
"SITE_1144","MECH_131270","Builder Grade","Yes","On/off","1"
"SITE_1144","MECH_170950","Builder Grade","Yes","On/off","0.25"
"SITE_1145","MECH_33742","Builder Grade","Yes","On/off","0.25"
"SITE_1146","MECH_102457","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1146","MECH_45824","Panasonic or equivalent","Yes","On/off","0"
"SITE_1147","MECH_65954","Builder Grade","Yes","On/off","0"
"SITE_1147","MECH_109007","Builder Grade","Yes","On/off","0"
"SITE_1148","MECH_64002","Builder Grade","Yes","On/off","0.1"
"SITE_1148","MECH_160789","Builder Grade","Yes","On/off","1"
"SITE_1150","MECH_68594","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1150","MECH_120243","Panasonic or equivalent","Yes","On/off","5"
"SITE_1151","MECH_82176","Builder Grade","Yes","On/off","0"
"SITE_1151","MECH_91858","Builder Grade","Yes","On/off","0.75"
"SITE_1152","MECH_157819","Builder Grade","Yes","On/off","0"
"SITE_1152","MECH_112022","Builder Grade","Yes","On/off","1"
"SITE_1153","MECH_3865","Builder Grade","Yes","On/off","1"
"SITE_1154","MECH_114637","Builder Grade","Yes","On/off","0.5"
"SITE_1154","MECH_107917","Builder Grade","Yes","On/off","0"
"SITE_1154","MECH_133282","Builder Grade","Yes","Timer","0"
"SITE_1154","MECH_81462","Builder Grade","Yes","On/off","0"
"SITE_1155","MECH_113146","Builder Grade","Yes","On/off","0.25"
"SITE_1155","MECH_121393","Builder Grade","Yes","On/off","0.25"
"SITE_1155","MECH_126840","Builder Grade","Yes","On/off","0"
"SITE_1156","MECH_174933","Panasonic or equivalent","Yes","On/off","0"
"SITE_1156","MECH_67806","Builder Grade","Yes","On/off","0.5"
"SITE_1156","MECH_25029","Builder Grade","Yes","On/off","1"
"SITE_1157","MECH_89947","Builder Grade","Yes","On/off","2"
"SITE_1157","MECH_63217","Builder Grade","Yes","On/off","1"
"SITE_1159","MECH_161591","Builder Grade","Yes","On/off","0.5"
"SITE_116","MECH_17625","Builder Grade","Yes","On/off","0.5"
"SITE_1160","MECH_121504","Builder Grade","Yes","On/off","0.3"
"SITE_1161","MECH_159636","Panasonic or equivalent","Yes","On/off","0"
