"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_1864","ROOM_5612","APPL_38053","LCD – LED",NA,"Samsung",NA,"UN55RU7100F","2019","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","65","Measured or Known","Yes","0","0","No","No","Office"
"SITE_1865","ROOM_17112","APPL_172059","LCD – LED",NA,"Vizio",NA,"E3D470VX","Unknown","No","Primary","Flat","UHD (4080p) – 4K","46","Measured or Known","300","Measured or Known","No","1","1","No","No","Living Room"
"SITE_1865","ROOM_7629","APPL_77612","LCD – LED",NA,"Vizio",NA,"V0320E","Unknown","No","Secondary","Flat","FHD (1080p)","35","Measured or Known","160","Measured or Known","No","0","1","No","No","Bedroom"
"SITE_1866","ROOM_13278","APPL_42552","Unknown",NA,"LG",NA,"Unknown","Unknown","No","Primary","Flat","Unknown","52","Measured or Known","Unknown","Unknown","Yes","0","0","No","No","Living Room"
"SITE_1866","ROOM_28692","APPL_102630","Unknown",NA,"Magnavox",NA,"Unknown","Unknown","No","Secondary","Flat","Unknown","36","Estimated","Unknown","Unknown","Yes","0","0","No","No","Bedroom"
"SITE_1866","ROOM_18794","APPL_108220","Plasma",NA,"LG",NA,"42PQ30-UA","2009","Unknown","All used about the same","Flat","Unknown","42","Measured or Known","38","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1867","ROOM_22930","APPL_46745","LCD – LED",NA,"Insignia",NA,"NS-50D510NA19","Unknown","No","Primary","Flat","Standard Definition","50","Measured or Known","65","Measured or Known","No","0","0","No","No","Living Room"
"SITE_1867","ROOM_1479","APPL_162304","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Secondary","Flat","High Definition (720p)","32","Measured or Known","Unknown","Unknown","No","Unknown","1","No","No","Family Room"
"SITE_1868","ROOM_11797","APPL_126433","LCD – LED",NA,"TCL",NA,"49S517","2019","No","Primary","Flat","UHD (4080p) – 4K","49","Estimated","Unknown","Unknown","Yes","1","1","No","No","Living Room"
"SITE_1869","ROOM_25031","APPL_113406","LCD – LED",NA,"Samsung",NA,"UN49NU8000F","2018","No","Primary","Flat","FHD (1080p)","49","Measured or Known","125","Measured or Known","Yes","1","Unknown","Yes","No","Living Room"
