"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_384","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","Yes","No"
"SITE_385","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_386","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_387","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_389","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_39","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_391","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_392","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_393","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_394","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_395","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_397","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_398","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_399","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_4","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_40","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Refrigerator / Freezer, Dishwasher, Stove / Oven, Clothes Washer, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_400","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_401","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_402","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_403","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_404","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_405","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","Yes","No","No","No"
"SITE_407","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_408","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_409","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_41","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_410","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_411","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Dishwasher, Refrigerator / Freezer, Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_412","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Dryer, Clothes Washer","No","No","Yes","No","No","No","No","No","No"
"SITE_413","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_414","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_415","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Clothes Washer","Yes","No","No","No","No","No","No","No","No"
"SITE_416","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_417","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_418","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_419","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Refrigerator / Freezer, Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_42","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_420","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","Yes","Yes","Yes","Yes","Dishwasher, Refrigerator / Freezer, Dryer, Stove / Oven, TV","Yes","Yes","No","No","Yes","No","No","No","Yes"
"SITE_421","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_422","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_423","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_424","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_425","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_426","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_427","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
