"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_33","Primary","1971","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_330","Primary","2021","No","Yes","Unknown","No","0","0","0","1","1","0","0","1","2","1","Own","Occupant","Occupant",NA,"2",NA,"High School graduate/GED",NA,"$35,000 to less than $49,999","Korean, White or Caucasian"
"SITE_331","Primary","2020","No","No","Yes","No","0","0","0","0","3","0","0","3","3","3","Rent","Occupant","Occupant","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_332","Primary","1993","No","No","No","No","0","0","0","0","0","0","3","1","3","3","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_333","Primary","2017","Yes","No","No","No","0","0","0","0","0","2","0","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_334","Primary","1989","No","No","Yes","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant","1",NA,NA,"Some college, no degree",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_335","Primary","2008","No","No","Unknown","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_336","Primary","2015","No","No","No","No","0","2","0","0","2","0","0","2","4","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian, Black or African American"
"SITE_337","Primary","1977","No","Yes","Yes","Unknown","0","0","0","0","2","0","1","0","3","3","Own","Occupant","Occupant","1","1",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Refused","White or Caucasian, Other Asian"
"SITE_338","Primary","2001","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$75,000 to less than $99,999","White or Caucasian"
