"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1182","ROOM_40322","APPL_90613","Sears",NA,"#175605621","Unknown","#03111055518","No","0.75","HP",NA,NA
"SITE_1184","ROOM_38417","APPL_128834","InSinkErator",NA,"#5-81","Unknown","#08011617401","No","0.5","HP",NA,NA
"SITE_119","ROOM_38458","APPL_114217","InSinkErator",NA,"WASTEKING SS2600","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1191","ROOM_11899","APPL_170200","Kenmore",NA,"Unknown","Unknown","Unknown","No","1","HP",NA,NA
"SITE_1193","ROOM_43008","APPL_165704","Other","Emerson","E10P","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1194","ROOM_10641","APPL_159427","InSinkErator",NA,"BADGER 1","Unknown","Unknown","Unknown","0.33","HP",NA,NA
"SITE_1195","ROOM_15809","APPL_99892","InSinkErator",NA,"#5-81","Unknown","#06021852044","No","0.5","HP",NA,NA
"SITE_1196","ROOM_35759","APPL_139012","Other","Maintenance Warehouse","405750-4","Unknown","#14121626138","No","0.5","HP",NA,NA
"SITE_1197","ROOM_17909","APPL_173467","InSinkErator",NA,"BADGER 7-1","Unknown","#06071506853","No","0.75","HP",NA,NA
"SITE_1198","ROOM_18550","APPL_158529","Other","American Standard","ASD-125","Unknown","Unknown","No","1.25","HP",NA,NA
"SITE_12","ROOM_15520","APPL_122277","Other","Ace Hardware","#2000","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1200","ROOM_2957","APPL_101737","InSinkErator",NA,"#5-84","Unknown","#16101066598","No","0.5","HP",NA,NA
"SITE_1202","ROOM_913","APPL_11023","InSinkErator",NA,"BADGER 500-1","Unknown","#15071287113","No","0.5","HP",NA,NA
"SITE_1207","ROOM_43168","APPL_136902","Other","Evergrind","#E101","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1209","ROOM_23761","APPL_135135","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,"NO NAMEPLATE",NA
"SITE_1210","ROOM_32999","APPL_88117","InSinkErator",NA,"PRO750-2","Unknown","#16033039009","No","0.75","HP",NA,NA
"SITE_1212","ROOM_41745","APPL_5286","Waste King",NA,"Unknown","Unknown","Unknown","No","0.5","HP","NO NAMEPLATE",NA
"SITE_1215","ROOM_8423","APPL_157360","InSinkErator",NA,"BADGER","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1216","ROOM_27684","APPL_33868","InSinkErator",NA,"PRO 88OLT-5A","Unknown","#21071163132","No","0.875","HP",NA,NA
"SITE_1219","ROOM_37065","APPL_153975","InSinkErator",NA,"#1-87","Unknown","#15021915537","No","0.33","HP",NA,NA
"SITE_122","ROOM_26571","APPL_129791","InSinkErator",NA,"ESSENTIAL-1","Unknown","#15083056861","No","0.3","HP",NA,NA
"SITE_1222","ROOM_33477","APPL_139340","InSinkErator",NA,"#5-81","Unknown","#08051659344","No","0.5","HP",NA,NA
"SITE_1223","ROOM_4930","APPL_8038","InSinkErator",NA,"BADGER 900 PLUS","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1224","ROOM_14015","APPL_54901","InSinkErator",NA,"BADGER 15SS-1","Unknown","#12071639222","No","0.75","HP",NA,NA
"SITE_1226","ROOM_17821","APPL_23805","Unknown",NA,"E202-2A","Unknown","#13072004807","No","0.5","HP",NA,NA
"SITE_123","ROOM_22319","APPL_55199","Americana",NA,"ASD-1250","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1231","ROOM_17264","APPL_32305","InSinkErator",NA,"BADGER900-2","Unknown","#21031506096","No","Unknown",NA,NA,NA
"SITE_1232","ROOM_10156","APPL_54728","InSinkErator",NA,"BADGER","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1233","ROOM_24710","APPL_48971","Other","Anaheim Manufacturing","WASTE KING 2600","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1234","ROOM_23198","APPL_26719","InSinkErator",NA,"#1-83","Unknown","#05011903210","No","0.33","HP",NA,NA
"SITE_1237","ROOM_6505","APPL_89618","InSinkErator",NA,"#5-64","Unknown","#160412900722","No","0.5","HP",NA,NA
"SITE_1238","ROOM_2179","APPL_15053","InSinkErator",NA,"SELECT-1","Unknown","#13021853346","No","0.625","HP",NA,NA
"SITE_1239","ROOM_34291","APPL_138982","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1244","ROOM_30237","APPL_60044","Other","Sink Guard","#SE150","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1245","ROOM_21661","APPL_23481","InSinkErator",NA,"#5-38","Unknown","#52582176","No","0.5","HP",NA,NA
"SITE_1246","ROOM_15727","APPL_71730","InSinkErator",NA,"BADGER 5-89-","Unknown","#21091042176","No","1","HP",NA,NA
"SITE_1248","ROOM_19343","APPL_91276","Waste King",NA,"#2600","Unknown","Unknown","No","Unknown",NA,NA,NA
