"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3201","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"80","58","Measured or Known","4640","0.853","27.4855555555556"
"SITE_3201","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3201","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3202","Exterior","Wood Solid Core","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3202","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3203","Exterior","Wood Solid Core","Single","Hinge","None",NA,"78","34","Measured or Known","2652","0.4","7.36666666666667"
"SITE_3204","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3205","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3205","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"96","36","Measured or Known","3456","0.853333333333333","20.48"
"SITE_3207","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3208","Exterior","Metal","Single","Slider","None",NA,"80","58","Measured or Known","4640","1.22666666666666","39.5259259259257"
"SITE_3208","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3209","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_3210","Exterior","Wood Solid Core","Single","Hinge","None",NA,"82","36","Measured or Known","2952","0.4","8.2"
"SITE_3211","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3211","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3212","Interior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3212","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"80","82","Measured or Known","6560","0.853","38.8588888888889"
"SITE_3213","Exterior","Fiberglass","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_3213","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3214","Interior","Wood Solid Core","Single","Hinge","None",NA,"82","36","Measured or Known","2952","0.4","8.2"
"SITE_3215","Exterior","Wood Solid Core","Single","Unknown","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3216","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3217","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3218","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"80","94","Measured or Known","7520","0.853","44.5455555555556"
"SITE_3218","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3219","Interior","Wood Solid Core","Single","Hinge","None",NA,"84","36","Measured or Known","3024","0.4","8.4"
"SITE_3220","Interior","Wood Solid Core","Single","Hinge","None",NA,"94","36","Measured or Known","3384","0.4","9.4"
"SITE_3221","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3222","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3223","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
