"SiteID","Wall_Type","Wall_Sub_Type","Wall_Area","Wall_Area_is_Estimated","Wall_Framing_Spacing","Wall_Framing_Spacing_Other","Wall_Framing_Size","Wall_Framing_Material","Wall_Thickness","Furred_Wall","Furred_Wall_Insulated","Furred_Wall_Insulation_Type","Furred_Wall_Insulation_Thickness","Furred_Wall_Insulation_Condition","Furred_Wall_Insulation_Source","Furred_Wall_Insulation_Source_Other","Wall_Cavity_Insulated","Wall_Cavity_Insulation_Type","Wall_Cavity_Depth","Wall_Cavity_Insulation_Thickness","Wall_Cavity_Insulation_Condition","Wall_Cavity_Insulation_Source","Wall_Cavity_Source_Other","Wall_Exterior_Insulated","Wall_Exterior_Insulation_Type","Wall_Exterior_Insulation_Thickness","Wall_Exterior_Insulation_Condition","Basement_Wall_Area_Sq_Ft_Is_Estimated","Basement_Walls_-_Depth_Below_Grade","Wall_Exterior_Insulation_Source","Wall_Exterior_Insulation_Source_Other","Basement_Walls_-_Height_Above_Grade","Basement_Walls_-_Percent_Below_Grade","Wall_Insulation_R-Value","Wall_Insulation_U-Value","Basement_Walls_-_Additional_U-Value_from_Soil","Wall_U-Value_for_Heat_Loss_without_Soil","Wall_U-Value_for_Heat_Loss_including_Soil","Wall_U-Value_for_Heat_Loss","Wall_Heat_Loss_Rate_UA"
"SITE_860","Framed",NA,"1196.25","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","0.75","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.143716197512741","171.920501274617"
"SITE_861","Framed",NA,"1106","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","73.3953438802431"
"SITE_862","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts","3.5","1","Visual inspection",NA,"Yes","Extruded polystyrene foam board (pink or blue)",NA,NA,"1","Visual inspection",NA,"No",NA,NA,NA,"Measured or Known","6.6",NA,NA,"2.4","0.733333333333333","11.935","0.0837871805613741","0.05","0.0897714583652544","0.0606057222307345","0.0897714583652544","Unknown"
"SITE_862","Framed",NA,"2555","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","169.55253491322"
"SITE_863","Framed",NA,"Unknown","Unknown",NA,NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Expanded polystyrene foam board (white)",NA,"4","0.9","Other","HOME OWNER","Yes","Open-cell spray foam","6","0.9",NA,NA,"Other","HOME OWNER",NA,NA,"37.46","0.0266951414842499",NA,NA,"Unknown","0.0359831425248658","Unknown"
"SITE_864","Framed",NA,"1440","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts",NA,"3.25","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.7","0.0854700854700855",NA,NA,"Unknown","0.115115070609229","165.76570167729"
"SITE_865","Framed",NA,"3800","Estimated","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0890023725923165","338.209015850803"
"SITE_866","Framed",NA,"1252.8","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","118.590370133407"
"SITE_867","Framed",NA,"1110","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","126.603557898184"
"SITE_867","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,"No",NA,NA,NA,NA,"6",NA,NA,"1","0.857142857142857","0",NA,"0.19","0.709219858156028","0.264174265450861","0.709219858156028","Unknown"
"SITE_868","Framed",NA,"1936","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","128.475032325634"
