"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_329","ROOM_1532","APPL_36035","Stove / Oven combo","KitchenAid",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5","Other","Natural Gas and Electric","Both","Single Oven","Kitchen"
"SITE_33","ROOM_38660","APPL_113458","Stove / Oven combo","HotPoint",NA,"R B747 OD2WH",NA,NA,"Unknown","ZM238737 R","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_330","ROOM_24873","APPL_56158","Stove / Oven combo","General Electric",NA,"J BP35D M1WW",NA,NA,"Unknown","ZT2 34535Q","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_331","ROOM_4241","APPL_133940","Stove / Oven combo","General Electric",NA,"JB645RK4SS",NA,NA,"Unknown","SLP72200Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_332","ROOM_44998","APPL_122899","Stovetop","DCS",NA,"CDV-304-N",NA,NA,"Unknown","BUP204144","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_332","ROOM_44998","APPL_156465","Oven (standalone / wall)","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_333","ROOM_41602","APPL_72991","Stove / Oven combo","Jenn-Air",NA,"JDS8850AAS",NA,NA,"Unknown","11604707CC","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_334","ROOM_43953","APPL_72495","Stove / Oven combo","KitchenAid",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Induction",NA,"5","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_335","ROOM_32793","APPL_168919","Stovetop","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"Unknown",NA,NA,NA,NA,"Kitchen"
"SITE_335","ROOM_32793","APPL_37750","Oven (standalone / wall)","General Electric",NA,"J KP28B0F1BB",NA,NA,"Unknown","VD6 13560Q","No","Yes",NA,NA,NA,NA,"Unknown","Unknown","Radiant","Double Oven","Kitchen"
