"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_634","ROOM_45509","APPL_18250","R/F Top Freezer","General Electric",NA,"TBX18SABQLWW",NA,"Unknown","GV500523","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_634","ROOM_34466","APPL_2718","Upright Full Size Single Freezer Only","Hotpoint",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","13.3","Measured or Known","100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_634","ROOM_45509","APPL_96718","Mini-Fridge","Sanyo",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Kitchen"
"SITE_634","ROOM_34466","APPL_127595","Mini-Fridge","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_635","ROOM_28245","APPL_4640","R/F Top Freezer","Frigidaire",NA,"FFTR2021QS1",NA,"Unknown","4A50711052","No","No","Yes","40","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_635","ROOM_17235","APPL_95557","Side by Side Refrigerator/Freezer","General Electric",NA,"TFX25PR",NA,"Unknown","Unknown","No","No","No","25.2","Measured or Known","100","No","No","Unknown",NA,NA,"Garage"
"SITE_636","ROOM_2825","APPL_132541","R/F Top Freezer","Samsung",NA,"RT21M6213SR",NA,"2020","0F384DBN791888W","No","No","Yes","21","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_637","ROOM_5405","APPL_76852","R/F Bottom Freezer","Kenmore",NA,"#79579043310",NA,"2014","402MRGC00383","Unknown","No","Yes","20.1","Estimated","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_637","ROOM_2406","APPL_75812","Chest Freezer","Holiday",NA,"LCM050LC",NA,"Unknown","Unknown","No","No","No","5","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_637","ROOM_2406","APPL_78531","Mini-Fridge","Magic Chef",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","5","Estimated","100",NA,"No","No",NA,NA,"Basement"
"SITE_638","ROOM_17221","APPL_109936","R/F Top Freezer","Kenmore",NA,"2536480240E",NA,"2009","BA94814861","No","No","No","20","Measured or Known","100","No","No","No",NA,NA,"Garage"
"SITE_638","ROOM_4518","APPL_59214","R/F Bottom Freezer","LG",NA,"LFX25950SW",NA,"Unknown","704KRSB00422","No","No","Yes","29","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_638","ROOM_17221","APPL_109030","Upright Full Size Single Freezer Only","Kenmore",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","22.3","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_638","ROOM_36892","APPL_74137","Upright Full Size Single Freezer Only","JC Penny",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","26.7","Measured or Known","100",NA,"No","No",NA,NA,"Outside"
"SITE_638","ROOM_30903","APPL_67923","Mini-Fridge","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","3.4","Measured or Known","100",NA,"No","No",NA,NA,"Family Room"
"SITE_639","ROOM_5720","APPL_22234","Side by Side w/ Bottom Freezer","KitchenAid",NA,"KFFS20EYMS00",NA,"2012","VS23461502","No","No","Yes","40","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_639","ROOM_3972","APPL_107252","R/F Top Freezer","Galaxy",NA,"#25368800990",NA,"1999","BA93403486","No","No","No","36","Measured or Known","100","No","No","No",NA,NA,"Other"
"SITE_639","ROOM_40165","APPL_58371","Upright Full Size Single Freezer Only","Kenmore",NA,"#25322042410",NA,"2015","WB54452166","Yes","No","No","40","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_639","ROOM_3972","APPL_74397","Upright Full Size Single Freezer Only","Coldspot",NA,"#6226170",NA,"Unknown","1J412048","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Other"
"SITE_64","ROOM_19870","APPL_50594","R/F Bottom Freezer","Fisher & Paykel",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","24","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_640","ROOM_44291","APPL_70431","R/F Top Freezer","Whirlpool",NA,"ET20DKXVN00",NA,"Unknown","S91415055","No","No","Yes","20","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_640","ROOM_46074","APPL_109619","Upright Full Size Single Freezer Only","Kenmore",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","13","Estimated","70",NA,"No","No",NA,NA,"Outside"
"SITE_641","ROOM_13937","APPL_76683","R/F Top Freezer","Maytag",NA,"PTB1753FRW",NA,"Unknown","11525288ZF","No","No","Yes","27.6","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
