"SiteID","RoomID","WaterDetail_ID","Room_Type","Fixture_Type","Rated_GPM","Primary_Shower","Usage"
"SITE_52","ROOM_39230","APPL_148070","Bathroom","Shower / Bathtub combo with Diverter Valve","1.8","Primary","Daily / Almost Daily"
"SITE_52","ROOM_44664","APPL_131008","Mechanical","Faucet","1.8",NA,NA
"SITE_52","ROOM_2557","APPL_140597","Kitchen","Faucet","1.5",NA,NA
"SITE_520","ROOM_30111","APPL_81591","Kitchen","Faucet","2.2",NA,NA
"SITE_520","ROOM_41744","APPL_8534","Bathroom","Faucet","Unknown",NA,NA
"SITE_520","ROOM_41744","APPL_46815","Bathroom","Shower / Bathtub combo with Separate Valve","Unknown","Primary","A few times per week"
"SITE_521","ROOM_14855","APPL_165502","Kitchen","Faucet","Unknown",NA,NA
"SITE_521","ROOM_36956","APPL_125528","Bathroom","Faucet","Unknown",NA,NA
"SITE_521","ROOM_36956","APPL_119293","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_522","ROOM_7511","APPL_83478","Kitchen","Faucet","1.5",NA,NA
"SITE_522","ROOM_18351","APPL_143349","Bathroom","Faucet","1.2",NA,NA
"SITE_522","ROOM_16565","APPL_17822","Bathroom","Faucet","1.5",NA,NA
"SITE_522","ROOM_16565","APPL_99298","Bathroom","Shower","1.8","Primary","Daily / Almost Daily"
"SITE_522","ROOM_13072","APPL_32067","Laundry","Faucet","Unknown",NA,NA
"SITE_522","ROOM_17731","APPL_25076","Bathroom","Faucet","1.5",NA,NA
"SITE_523","ROOM_8371","APPL_150475","Bathroom","Faucet","1.5",NA,NA
"SITE_523","ROOM_8371","APPL_160635","Bathroom","Shower","2.5","Primary","Daily / Almost Daily"
