"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_220","2","Fixed","864","Measured or Known","Vinyl","Unknown","Unknown","South","Rectangle / Square",NA,"48","18","Yes","No","No","864","Unknown","Unknown"
"SITE_230","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"36","Unknown","No",NA,NA,"Unknown","0.7","Unknown"
"SITE_231","1","Fixed","900","Estimated","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"30","30","No",NA,NA,"900","Unknown","Unknown"
"SITE_231","1","Fixed","900","Measured or Known","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"30","30","No",NA,NA,"900","Unknown","Unknown"
"SITE_233","1","Fixed","1152","Measured or Known","Unknown","Double","Unknown","North","Rectangle / Square",NA,"48","24","Yes","No","Yes","1152","Unknown","Unknown"
"SITE_233","1","Fixed","1152","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"48","24","Yes","No","Yes","1152","0.7","5.6"
"SITE_233","1","Fixed","1152","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"48","24","Yes","No","Yes","1152","0.7","5.6"
"SITE_236","1","Open","900","Estimated","Unknown","Unknown","Manual","East","Rectangle / Square",NA,"30","30","No",NA,NA,"900","Unknown","Unknown"
"SITE_237","1","Open","726","Measured or Known","Unknown","Unknown","Manual","South","Rectangle / Square",NA,"33","22","Yes","No","No","726","Unknown","Unknown"
"SITE_239","1","Fixed","574","Estimated","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_239","1","Fixed","1152","Estimated","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_241","1","Fixed","Unknown","Unknown","Vinyl","Single","Unknown","South","Circle",NA,"50","Unknown","No",NA,NA,"Unknown","0.81","Unknown"
"SITE_242","1","Fixed","62","Unknown","Aluminum","Single","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"62","1.16","0.5"
"SITE_246","1","Fixed","800","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"40","20","No",NA,NA,"800","0.38","2.11"
"SITE_247","1","Fixed","2304","Estimated","Vinyl","Unknown","Unknown","West","Rectangle / Square",NA,"48","48","Yes","Unknown","Yes","2304","Unknown","Unknown"
"SITE_247","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_247","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","South","Rectangle / Square",NA,"48","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown"
"SITE_248","1","Fixed","864","Estimated","Wood - bare","Unknown","Unknown","NE","Rectangle / Square",NA,"36","24","No",NA,NA,"864","Unknown","Unknown"
