HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR,DOLELLGT
4263, 76654,9,4,9,2, 761,  969,4,   0, 199, 119,   0,   0,   0,  50,   0,   0,   0,  0, 53,  0,   0,  0, 124, 16, 0,  0,0,   0,  0,  75,  0,  0,  0,  0,   42
4264, 27939,9,4,9,2,1101, 1049,2,   0, 699, 353,   0,   0,  45, 220,   0,   0,   0,  0, 88,  0,   0,  0, 523, 45, 0,  0,0,   0,  0, 131,  0,  0,  0,  0,   96
4265, 18283,9,3,5,0,1257, 4909,3,   0, 843,   0,   0,   0, 238,   0,   0,   0,   0,135,  0,  0,   0,  0, 300,  0, 0,  0,0, 114,  0,  56, 94, 15,  7, 34,   15
4266, 17964,9,2,3,0, 742, 6763,2,   0,1695,   0, 658,   0,   0,   0, 658,   0,   0,420,  0,  0,   0,  0, 855,  0, 0,  0,0, 152,  0, 268,  0, 41, 97, 94,  193
4267,  3401,9,1,2,0, 780, 5996,3,   0,1369,   0,   0,   0, 420,   0,   0,   0,   0,329,  0,  0,   0,  0, 507,  0, 0,  0,0,  30,  0,  83,  0, 67,  0, 74,   92
4268, 17814,9,3,7,3,1933, 2035,2,   0, 974, 368,   0,   0,  32, 234,   0,   0,   0,  0,134,  0,   0,  0, 474,  0, 0,  0,0, 333,  0, 135,  0, 66,  0, 72,  111
4269,  4265,9,2,3,0, 721, 6741,5,   0, 840, 536,   0,   0,   0, 271,   0,   0,   0,  0,265,  0,   0,  0, 545,  0, 0,  0,0, 123,  0, 172,  0,131, 23,  0,  138
4270, 13890,9,3,7,3,2638, 1702,4,   0,1504,   0,   0,   0, 300,   0,   0,   0,   0,322,  0,  0,   0,  0, 389,  0, 0,  0,0, 320,  0, 173,  0, 88,  0,  0,  125
4271,  8854,9,3,7,3,2848, 2071,2,   0, 368, 388,   0,   0,   0, 207,   0,   0,   0,  0,142,  0,   0,  0, 177, 39, 0,  0,0, 132,  0,  59,  0,  0,  0,  0,   62
4272, 13505,9,1,2,1,1006, 5317,4,   0, 655, 834,   0,   0,   0, 560,   0,   0,   0,  0,218,  0,   0,  0, 459, 56, 0,  0,0,  93,  0, 103,  0,  0,  0,  0,  168
