vintage_era,month,total_therms,equipment_count,avg_therms,year
2010-2014,8,12710.081275067023,22504,0.5647920936307778,2031
2010-2014,9,72241.09335838973,22504,3.2101445680052314,2031
2010-2014,10,490305.10550978576,22504,21.78746469560015,2031
2010-2014,11,995794.631967076,22504,44.24967259007625,2031
2010-2014,12,1251937.8851822475,22504,55.6317936892218,2031
2015+,1,1130217.0815355557,20822,54.27994820553048,2031
2015+,2,829126.7208171824,20822,39.81974454025465,2031
2015+,3,709129.7447002446,20822,34.05675462012509,2031
2015+,4,497224.39963868115,20822,23.87976177306124,2031
2015+,5,317175.67316735024,20822,15.232718911120461,2031
2015+,6,81821.90708282558,20822,3.929589236520295,2031
2015+,7,243.97746939318864,20822,0.011717292738122593,2031
2015+,8,9301.17405483712,20822,0.4466993590835232,2031
2015+,9,52879.98125272725,20822,2.539620653766557,2031
2015+,10,358852.171620592,20822,17.234279685937565,2031
2015+,11,728745.104582043,20822,34.99880436951508,2031
2015+,12,916284.1617387286,20822,44.00557879832527,2031
pre-1980,1,7091246.511787444,76424,92.7882145894934,2031
pre-1980,2,5201784.127372253,76424,68.06479806568947,2031
pre-1980,3,4448059.027471815,76424,58.20238442729791,2031
pre-1980,4,3119530.3370779688,76424,40.81872627810594,2031
pre-1980,5,1989766.2741261164,76424,26.035882368445993,2031
pre-1980,6,513306.14116616733,76424,6.716556856042177,2031
pre-1980,7,1530.5432540057104,76424,0.02002699746160513,2031
pre-1980,8,58358.69293612243,76424,0.763617357585607,2031
pre-1980,9,331758.96915008733,76424,4.341031209437969,2031
pre-1980,10,2250984.7202192275,76424,29.453898254726624,2031
pre-1980,11,4571847.506506836,76424,59.82214365260698,2031
pre-1980,12,5747536.124999744,76424,75.2059055401411,2031
1980-1999,1,4540581.8565519415,53715,84.53098494930543,2032
1980-1999,2,3331466.777566631,53715,62.02116313072011,2032
1980-1999,3,2848539.4453071565,53715,53.03061426616693,2032
1980-1999,4,1996950.9552680666,53715,37.17678405041546,2032
1980-1999,5,1274007.4078563165,53715,23.717907620893914,2032
1980-1999,6,328598.1512975528,53715,6.117437425254637,2032
