"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Type of Area Above Ceiling","Ceiling Insulation U-Value","Ceiling Insulation U-Value_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value for Heat Loss","Ceiling U-Value for Heat Loss_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00008716","SITE_01311","Sloped / Vaulted (no attic)",257.0000,,"No","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,0.0000,,0.3700,,95.0900,,"N/A"
"Envelope_00008718","SITE_01312","Attic",899.0000,,"Yes","Yes","Blown fiberglass",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0354,,28.2500,,0.0350,,31.8200,,"N/A"
"Envelope_00008719","SITE_01312","Sloped / Vaulted (no attic)",531.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,40.3500,,"N/A"
"Envelope_00008743","SITE_01313","Attic",960.0000,,"Yes","Yes","Blown fiberglass",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0644,,15.5375,,0.0640,,61.7900,,"N/A"
"Envelope_00008744","SITE_01313","Sloped / Vaulted (no attic)",248.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,18.8400,,"N/A"
"Envelope_00008668","SITE_01314","Attic",1252.0000,,"Yes","Yes","Blown fiberglass",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0295,,33.9000,,0.0290,,36.9300,,"N/A"
"Envelope_00012009","SITE_01315","Attic",203.0000,,"Yes","Yes","Fiberglass batts",3.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.1754,,5.7010,,0.1750,,35.6100,,"N/A"
"Envelope_00012010","SITE_01315","Attic",609.0000,,"Yes","Yes","Blown cellulose",12.0000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.1220,,8.2000,,0.1220,,74.2700,,"Most of attic was blown cellulose. Some fiberglass batts near air handling unit. Blow insulation was uneven and not covering all of attic , some spots bare without either type of insulation. Roughy 12-16 in on average"
"Envelope_00008700","SITE_01316","Sloped / Vaulted (no attic)",1180.0000,,"No","Yes","Open-cell spray foam",2.0000,,,"Unknown","Fiberglass batts",,"Unknown",,"Unknown","N/A",,"N/A",,"N/A","N/A",0.1439,,6.9500,,0.1440,,169.7800,,"From homeowner"
"Envelope_00008726","SITE_01317","Attic",3110.0000,,"No","Yes","Expanded polystyrene foam board (white)",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0803,,12.4500,,0.0800,,249.8000,,"Info from homeowner. She wasnt 100% certain though on thickness"
