"PK_WaterDetail_ID","CK_SiteID","CK_RoomID","Room Name","Room Type","Fixture Type","Rated GPM","Rated GPM_Notes","Measured GPM","Measured GPM_Notes","Primary Shower","Secondary Shower Usage","Notes"
"Water_00003137","SITE_01918","Room_00023301","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.4000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00003138","SITE_01918","Room_00023302","Bathroom_2","Bathroom","Bathroom Faucet",2.0000,,2.6000,,"N/A","N/A","N/A"
"Water_00003139","SITE_01918","Room_00023302","Bathroom_2","Bathroom","Shower",1.5000,,1.5000,,"All used about the same","A few times per week","N/A"
"Water_00003140","SITE_01686","Room_00020879","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.0000,,"N/A","N/A","N/A"
"Water_00003141","SITE_01686","Room_00020881","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,1.2000,,"N/A","N/A","N/A"
"Water_00003142","SITE_01686","Room_00020881","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.0000,,"Secondary","A few times per year","N/A"
"Water_00003143","SITE_01686","Room_00020882","Bathroom_2","Bathroom","Bathroom Faucet",2.0000,,1.3000,,"N/A","N/A","N/A"
"Water_00003144","SITE_01686","Room_00020882","Bathroom_2","Bathroom","Shower",2.5000,,2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003145","SITE_01916","Room_00023268","Kitchen_1","Kitchen","Bathroom Faucet",1.5000,,1.5000,,"N/A","N/A","N/A"
"Water_00003146","SITE_01916","Room_00023272","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",,"Unknown","N/A","N/A","Homeowner didn't really want me in the space. Could not access"
"Water_00003147","SITE_01916","Room_00023272","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",,"Unknown","All used about the same","Daily / Almost Daily","Homeowner didn't really want me in the space. Could not access"
