"PK_WindowDetail_ID","CK_SiteID","CK_RoomID","Type","Sub-Type","Area","Area_Notes","Quantity","Quantity_Notes","Frame / Body Type","Glazing Type","Window Direction","Window Frame Category","Glazing Frame Category","U-Value","U-Value_Notes","Window UA","Window UA_Notes","Notes"
"Window_00006512","SITE_01099","Room_00016088","Window","Fixed (picture)",3.3611,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,1.4800,,"N/A"
"Window_00006513","SITE_01099","Room_00016088","Window","Fixed (picture)",23.6111,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,10.4200,,"N/A"
"Window_00006514","SITE_01099","Room_00016090","Window","Slider",18.5278,,1,,"Vinyl","Double","SW","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.1800,,"N/A"
"Window_00006515","SITE_01099","Room_00016090","Window","Fixed (picture)",3.3611,,2,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.9700,,"N/A"
"Window_00006516","SITE_01099","Room_00016091","Window","Slider",7.0278,,1,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.1000,,"N/A"
"Window_00006517","SITE_01099","Room_00016093","Window","Slider",14.6944,,1,,"Vinyl","Double","NE","Wood, Vinyl, or Fiberglass","Double",0.4400,,6.4900,,"N/A"
"Window_00006518","SITE_01099","Room_00016095","Window","Fixed (picture)",3.3611,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,1.4800,,"N/A"
"Window_00006519","SITE_01099","Room_00016095","Window","Slider",14.6944,,1,,"Vinyl","Double","NE","Wood, Vinyl, or Fiberglass","Double",0.4400,,6.4900,,"N/A"
"Window_00006520","SITE_01099","Room_00016096","Window","Slider",33.0278,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,14.5800,,"N/A"
"Window_00006521","SITE_01099","Room_00016096","Window","Slider",18.1250,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.0000,,"N/A"
"Window_00006522","SITE_01985","Room_00024240","Window","Single-hung",13.2222,,1,,"Aluminum","Double","West","Metal","Double",0.6600,,8.6600,,"N/A"
"Window_00006523","SITE_01985","Room_00024241","Door","Single",20.5556,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,8.2200,,"N/A"
"Window_00006524","SITE_01985","Room_00024241","Window","Fixed (picture)",5.1111,,1,,"Wood - bare","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.2600,,"N/A"
"Window_00006525","SITE_01985","Room_00024241","Window","Single-hung",13.3333,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,8.7300,,"N/A"
"Window_00006526","SITE_01985","Room_00024242","Window","Slider",4.6875,,1,,"Aluminum","Double","West","Metal","Double",0.6600,,3.0700,,"N/A"
"Window_00006527","SITE_01985","Room_00024243","Window","Slider",29.2778,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,19.1800,,"N/A"
"Window_00006528","SITE_01985","Room_00024244","Window","Single-hung",13.6944,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,8.9700,,"N/A"
"Window_00006529","SITE_01985","Room_00024244","Window","Single-hung",13.6944,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,8.9700,,"N/A"
"Window_00006530","SITE_01985","Room_00024245","Window","Single-hung",13.6944,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,8.9700,,"N/A"
"Window_00006531","SITE_01565","Room_00019272","Window","Single-hung",18.6389,,1,,"Wood - bare","Single","West","Wood, Vinyl, or Fiberglass","Single",0.8500,,15.9100,,"N/A"
"Window_00006532","SITE_01565","Room_00019272","Window","Single-hung",11.8611,,1,,"Wood - bare","Single","South","Wood, Vinyl, or Fiberglass","Single",0.8500,,10.1200,,"N/A"
"Window_00006533","SITE_01565","Room_00019272","Door","Single",17.7778,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,7.1100,,"N/A"
"Window_00006534","SITE_01565","Room_00019274","Window","Single-hung",11.8611,,2,,"Aluminum","Double","South","Metal","Double",0.6600,,15.5400,,"N/A"
"Window_00006535","SITE_01565","Room_00019273","Window","Single-hung",11.8611,,1,,"Wood - bare","Single","North","Wood, Vinyl, or Fiberglass","Single",0.8500,,10.1200,,"N/A"
"Window_00006536","SITE_01565","Room_00019273","Window","Single-hung",18.6389,,1,,"Wood - bare","Single","West","Wood, Vinyl, or Fiberglass","Single",0.8500,,15.9100,,"N/A"
"Window_00006537","SITE_01565","Room_00019276","Window","Slider",5.5903,,2,,"Aluminum","Double","East","Metal","Double",0.6600,,7.3200,,"N/A"
"Window_00006538","SITE_01565","Room_00019276","Window","Slider",8.5069,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,5.5700,,"N/A"
"Window_00006539","SITE_01565","Room_00019276","Door","Single",15.2083,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,6.0800,,"N/A"
"Window_00006540","SITE_01565","Room_00019277","Window","Single-hung",11.8611,,1,,"Wood - bare","Single","North","Wood, Vinyl, or Fiberglass","Single",0.8500,,10.1200,,"N/A"
"Window_00006541","SITE_01565","Room_00019278","Window","Casement",1.8333,,1,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,0.8100,,"N/A"
"Window_00006542","SITE_01565","Room_00019278","Skylight","Skylight fixed",0.4444,,1,,"Unknown","Double","Unknown","N/A","N/A",0.6000,,0.2700,,"Solatube"
"Window_00006543","SITE_01538","Room_00018920","Window","Casement",18.5278,,4,,"Aluminum","Double","South","Metal","Double",0.6600,,48.5400,,"N/A"
"Window_00006544","SITE_01538","Room_00018920","Door","Single",20.0000,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,8.0000,,"N/A"
"Window_00006545","SITE_01538","Room_00018920","Window","Casement",38.5139,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,25.2300,,"N/A"
"Window_00006546","SITE_01538","Room_00018920","Door","Single",8.0000,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,3.2000,,"Firewood door"
"Window_00006547","SITE_01538","Room_00018920","Window","Fixed (picture)",22.6806,,1,,"Aluminum","Double","West","Metal","Double",0.6600,,14.8600,,"N/A"
"Window_00006548","SITE_01538","Room_00018920","Window","Fixed (picture)",4.4722,,2,,"Aluminum","Double","West","Metal","Double",0.6600,,5.8600,,"N/A"
"Window_00006549","SITE_01538","Room_00018921","Window","Slider",13.7361,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,9.0000,,"N/A"
"Window_00006550","SITE_01538","Room_00018924","Window","Slider",22.3611,,1,,"Aluminum","Double","West","Metal","Double",0.6600,,14.6500,,"N/A"
"Window_00006551","SITE_01538","Room_00018926","Window","Slider",18.8472,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,12.3400,,"N/A"
"Window_00006552","SITE_01538","Room_00018927","Window","Slider",18.8472,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,12.3400,,"N/A"
"Window_00006553","SITE_01538","Room_00018925","Skylight","Skylight fixed",0.4444,,1,,"Unknown","Double","Unknown","N/A","N/A",0.6000,,0.2700,,"Solatube"
"Window_00006554","SITE_00914","Room_00015026","Window","Awning",1.0625,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,1.3000,,"N/A"
"Window_00006555","SITE_00914","Room_00015027","Window","Fixed (picture)",8.5417,,1,,"Aluminum","Single","East","Metal","Single",1.2300,,10.4800,,"N/A"
"Window_00006556","SITE_00914","Room_00015028","Window","Fixed (picture)",8.3333,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,10.2200,,"N/A"
"Window_00006557","SITE_00914","Room_00015028","Window","Fixed (picture)",8.3333,,3,,"Aluminum","Single","West","Metal","Single",1.2300,,30.6700,,"N/A"
"Window_00006558","SITE_00914","Room_00015028","Window","Slider",8.3333,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.6800,,"N/A"
"Window_00006559","SITE_00914","Room_00015029","Window","Awning",1.0625,,1,,"Vinyl","Single","North","Wood, Vinyl, or Fiberglass","Single",0.8500,,0.9100,,"N/A"
"Window_00006560","SITE_00914","Room_00015031","Door","Single",17.2222,,1,,"Wood Solid Core","Half window","N/A","N/A","N/A",0.4000,,6.8900,,"N/A"
"Window_00006561","SITE_00914","Room_00015031","Door","Single",16.7917,,1,,"Metal","None","N/A","N/A","N/A",1.2300,,20.6000,,"N/A"
"Window_00006562","SITE_00914","Room_00015030","Window","Fixed (picture)",8.3333,,2,,"Aluminum","Single","West","Metal","Single",1.2300,,20.4400,,"N/A"
"Window_00006563","SITE_00914","Room_00015030","Window","Slider",8.3333,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.6800,,"N/A"
"Window_00006564","SITE_00885","Room_00015009","Window","Double-hung",11.8750,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.2400,,"N/A"
"Window_00006565","SITE_00885","Room_00015009","Window","Double-hung",11.8750,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.2400,,"N/A"
"Window_00006566","SITE_00885","Room_00015010","Window","Double-hung",11.8750,,2,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,10.4800,,"N/A"
"Window_00006567","SITE_00885","Room_00015011","Window","Double-hung",2.3472,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,1.0400,,"Frosted glass"
"Window_00006568","SITE_01025","Room_00015327","Window","Slider",8.0000,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.5300,,"N/A"
"Window_00006569","SITE_01025","Room_00015328","Window","Sliding glass door",37.8542,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,16.7100,,"Glass sliding door"
